     7.6562 -0.00073953  0.00019816
     7.6562  -0.0015722  0.00042127
     7.6562  -0.0024048  0.00064437
     7.6562  -0.0032375  0.00086748
     7.6562  -0.0040701   0.0010906
     7.6562  -0.0049028   0.0013137
     7.6562  -0.0057354   0.0015368
     7.6562  -0.0065681   0.0017599
     7.6562  -0.0074007    0.001983
     7.6562  -0.0082334   0.0022061
     7.6562   -0.009066   0.0024292
     7.6562  -0.0098987   0.0026523
     7.6562   -0.010731   0.0028755
     7.6562   -0.011564   0.0030986
     7.6562   -0.012397   0.0033217
     7.6562   -0.013229   0.0035448
     7.6562   -0.014062   0.0037679
     7.6562   -0.014895    0.003991
     7.6562   -0.015727   0.0042141
     7.6562    -0.01656   0.0044372
     7.6562   -0.017393   0.0046603
     7.6562   -0.018225   0.0048834
     7.6562   -0.019058   0.0051065
     7.6562    -0.01989   0.0053296
     7.6562   -0.020723   0.0055527
     7.6562   -0.021556   0.0057759
     7.6562   -0.022388    0.005999
     7.6562   -0.023221   0.0062221
     7.6562   -0.024054   0.0064452
     7.6562   -0.024886   0.0066683
     7.6562   -0.025719   0.0068914
     7.6562   -0.026552   0.0071145
     7.6562   -0.027384   0.0073376
     7.6562   -0.028217   0.0075607
     7.6562    -0.02905   0.0077838
     7.6562   -0.029882   0.0080069
     7.6562   -0.030715     0.00823
     7.6561   -0.031548   0.0084531
     7.6561    -0.03238   0.0086762
     7.6561   -0.033213   0.0088994
     7.6561   -0.034045   0.0091225
     7.6561   -0.034878   0.0093456
     7.6561   -0.035711   0.0095687
     7.6561   -0.036543   0.0097918
     7.6561   -0.037376    0.010015
     7.6561   -0.038209    0.010238
     7.6561   -0.039041    0.010461
     7.6561   -0.039874    0.010684
     7.6561   -0.040707    0.010907
     7.6561   -0.041539     0.01113
     7.6561   -0.042372    0.011354
     7.6561   -0.043205    0.011577
     7.6561   -0.044037      0.0118
     7.6561    -0.04487    0.012023
     7.6561   -0.045702    0.012246
     7.6561   -0.046535    0.012469
     7.6561   -0.047368    0.012692
     7.6561     -0.0482    0.012915
     7.6561   -0.049033    0.013138
      7.656   -0.049866    0.013361
      7.656   -0.050698    0.013585
      7.656   -0.051531    0.013808
      7.656   -0.052364    0.014031
      7.656   -0.053196    0.014254
      7.656   -0.054029    0.014477
      7.656   -0.054861      0.0147
      7.656   -0.055694    0.014923
      7.656   -0.056527    0.015146
      7.656   -0.057359    0.015369
      7.656   -0.058192    0.015592
      7.656   -0.059025    0.015816
      7.656   -0.059857    0.016039
      7.656    -0.06069    0.016262
      7.656   -0.061522    0.016485
      7.656   -0.062355    0.016708
     7.6559   -0.063188    0.016931
     7.6559    -0.06402    0.017154
     7.6559   -0.064853    0.017377
     7.6559   -0.065686      0.0176
     7.6559   -0.066518    0.017823
     7.6559   -0.067351    0.018047
     7.6559   -0.068183     0.01827
     7.6559   -0.069016    0.018493
     7.6559   -0.069849    0.018716
     7.6559   -0.070681    0.018939
     7.6559   -0.071514    0.019162
     7.6559   -0.072346    0.019385
     7.6558   -0.073179    0.019608
     7.6558   -0.074012    0.019831
     7.6558   -0.074844    0.020054
     7.6558   -0.075677    0.020278
     7.6558   -0.076509    0.020501
     7.6558   -0.077342    0.020724
     7.6558   -0.078175    0.020947
     7.6558   -0.079007     0.02117
     7.6558    -0.07984    0.021393
     7.6558   -0.080673    0.021616
     7.6558   -0.081505    0.021839
     7.6558   -0.082338    0.022062
     7.6557    -0.08317    0.022285
     7.6557   -0.084003    0.022509
     7.6557   -0.084836    0.022732
     7.6557   -0.085668    0.022955
     7.6557   -0.086501    0.023178
     7.6557   -0.087333    0.023401
     7.6557   -0.088166    0.023624
     7.6557   -0.088998    0.023847
     7.6557   -0.089831     0.02407
     7.6557   -0.090664    0.024293
     7.6556   -0.091496    0.024516
     7.6556   -0.092329    0.024739
     7.6556   -0.093161    0.024963
     7.6556   -0.093994    0.025186
     7.6556   -0.094827    0.025409
     7.6556   -0.095659    0.025632
     7.6556   -0.096492    0.025855
     7.6556   -0.097324    0.026078
     7.6556   -0.098157    0.026301
     7.6555    -0.09899    0.026524
     7.6555   -0.099822    0.026747
     7.6555    -0.10065     0.02697
     7.6555    -0.10149    0.027193
     7.6555    -0.10232    0.027417
     7.6555    -0.10315     0.02764
     7.6555    -0.10398    0.027863
     7.6555    -0.10482    0.028086
     7.6554    -0.10565    0.028309
     7.6554    -0.10648    0.028532
     7.6554    -0.10732    0.028755
     7.6554    -0.10815    0.028978
     7.6554    -0.10898    0.029201
     7.6554    -0.10981    0.029424
     7.6554    -0.11065    0.029647
     7.6554    -0.11148     0.02987
     7.6553    -0.11231    0.030094
     7.6553    -0.11314    0.030317
     7.6553    -0.11398     0.03054
     7.6553    -0.11481    0.030763
     7.6553    -0.11564    0.030986
     7.6553    -0.11647    0.031209
     7.6553    -0.11731    0.031432
     7.6553    -0.11814    0.031655
     7.6552    -0.11897    0.031878
     7.6552     -0.1198    0.032101
     7.6552    -0.12064    0.032324
     7.6552    -0.12147    0.032547
     7.6552     -0.1223    0.032771
     7.6552    -0.12313    0.032994
     7.6552    -0.12397    0.033217
     7.6551     -0.1248     0.03344
     7.6551    -0.12563    0.033663
     7.6551    -0.12646    0.033886
     7.6551     -0.1273    0.034109
     7.6551    -0.12813    0.034332
     7.6551    -0.12896    0.034555
     7.6551    -0.12979    0.034778
      7.655    -0.13063    0.035001
      7.655    -0.13146    0.035224
      7.655    -0.13229    0.035447
      7.655    -0.13312     0.03567
      7.655    -0.13396    0.035894
      7.655    -0.13479    0.036117
     7.6549    -0.13562     0.03634
     7.6549    -0.13645    0.036563
     7.6549    -0.13729    0.036786
     7.6549    -0.13812    0.037009
     7.6549    -0.13895    0.037232
     7.6549    -0.13978    0.037455
     7.6548    -0.14062    0.037678
     7.6548    -0.14145    0.037901
     7.6548    -0.14228    0.038124
     7.6548    -0.14311    0.038347
     7.6548    -0.14395     0.03857
     7.6548    -0.14478    0.038793
     7.6547    -0.14561    0.039017
     7.6547    -0.14644     0.03924
     7.6547    -0.14728    0.039463
     7.6547    -0.14811    0.039686
     7.6547    -0.14894    0.039909
     7.6547    -0.14977    0.040132
     7.6546    -0.15061    0.040355
     7.6546    -0.15144    0.040578
     7.6546    -0.15227    0.040801
     7.6546     -0.1531    0.041024
     7.6546    -0.15394    0.041247
     7.6546    -0.15477     0.04147
     7.6545     -0.1556    0.041693
     7.6545    -0.15643    0.041916
     7.6545    -0.15727    0.042139
     7.6545     -0.1581    0.042362
     7.6545    -0.15893    0.042585
     7.6544    -0.15976    0.042809
     7.6544     -0.1606    0.043032
     7.6544    -0.16143    0.043255
     7.6544    -0.16226    0.043478
     7.6544    -0.16309    0.043701
     7.6544    -0.16393    0.043924
     7.6543    -0.16476    0.044147
     7.6543    -0.16559     0.04437
     7.6543    -0.16642    0.044593
     7.6543    -0.16726    0.044816
     7.6543    -0.16809    0.045039
     7.6542    -0.16892    0.045262
     7.6542    -0.16975    0.045485
     7.6542    -0.17059    0.045708
     7.6542    -0.17142    0.045931
     7.6542    -0.17225    0.046154
     7.6541    -0.17308    0.046377
     7.6541    -0.17392      0.0466
     7.6541    -0.17475    0.046823
     7.6541    -0.17558    0.047047
     7.6541    -0.17641     0.04727
      7.654    -0.17724    0.047493
      7.654    -0.17808    0.047716
      7.654    -0.17891    0.047939
      7.654    -0.17974    0.048162
      7.654    -0.18057    0.048385
     7.6539    -0.18141    0.048608
     7.6539    -0.18224    0.048831
     7.6539    -0.18307    0.049054
     7.6539     -0.1839    0.049277
     7.6538    -0.18474      0.0495
     7.6538    -0.18557    0.049723
     7.6538     -0.1864    0.049946
     7.6538    -0.18723    0.050169
     7.6538    -0.18807    0.050392
     7.6537     -0.1889    0.050615
     7.6537    -0.18973    0.050838
     7.6537    -0.19056    0.051061
     7.6537     -0.1914    0.051284
     7.6536    -0.19223    0.051507
     7.6536    -0.19306     0.05173
     7.6536    -0.19389    0.051953
     7.6536    -0.19473    0.052176
     7.6536    -0.19556    0.052399
     7.6535    -0.19639    0.052622
